latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-26.88928,-56.873596,167.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),direct_radiation (W/m²)
2026-01-07T00:00,26.1,71,20.4,0.00,989.4,12.6,0.0
2026-01-07T01:00,25.7,72,20.3,0.00,990.0,13.7,0.0
2026-01-07T02:00,25.0,76,20.5,0.00,990.4,13.9,0.0
2026-01-07T03:00,24.5,79,20.6,0.00,990.6,13.8,0.0
2026-01-07T04:00,24.0,81,20.5,0.00,990.7,14.1,0.0
2026-01-07T05:00,23.6,83,20.6,0.00,990.7,13.7,0.0
2026-01-07T06:00,23.6,85,21.0,0.00,990.5,12.6,0.0
2026-01-07T07:00,23.3,86,20.8,0.00,990.5,11.3,0.0
2026-01-07T08:00,22.9,87,20.5,0.00,990.8,11.1,0.0
2026-01-07T09:00,22.5,88,20.5,0.00,991.4,11.6,0.0
2026-01-07T10:00,23.1,87,20.9,0.00,992.3,13.2,35.0
2026-01-07T11:00,24.9,84,21.9,0.00,992.7,13.2,191.0
2026-01-07T12:00,26.8,76,22.1,0.00,993.4,12.6,379.0
2026-01-07T13:00,28.6,70,22.5,0.00,993.6,13.2,432.0
2026-01-07T14:00,29.5,68,23.0,0.00,993.5,12.4,298.0
2026-01-07T15:00,31.0,65,23.7,0.00,993.2,15.0,865.0
2026-01-07T16:00,31.9,57,22.3,0.00,992.6,16.8,770.0
2026-01-07T17:00,30.1,66,23.0,0.20,992.6,12.3,620.0
2026-01-07T18:00,31.5,60,22.7,0.00,991.3,14.5,593.0
2026-01-07T19:00,31.9,54,21.5,0.40,990.7,10.9,456.0
2026-01-07T20:00,32.1,52,21.0,0.00,990.2,8.3,403.0
2026-01-07T21:00,31.5,57,22.0,0.00,989.9,5.9,256.0
2026-01-07T22:00,29.1,70,23.1,0.00,990.1,11.3,99.0
2026-01-07T23:00,27.1,77,22.8,0.00,990.7,9.3,15.0
2026-01-08T00:00,26.6,75,21.8,0.00,991.2,16.2,0.0
2026-01-08T01:00,25.9,78,21.8,0.00,991.6,13.9,0.0
2026-01-08T02:00,25.1,83,22.1,0.00,992.1,9.6,0.0
2026-01-08T03:00,24.2,92,22.8,0.00,992.5,10.7,0.0
2026-01-08T04:00,23.9,95,23.0,0.00,992.2,9.3,0.0
2026-01-08T05:00,23.5,93,22.4,0.00,992.2,17.3,0.0
2026-01-08T06:00,23.6,94,22.6,0.00,991.9,11.1,0.0
2026-01-08T07:00,23.1,95,22.2,0.00,991.8,10.7,0.0
2026-01-08T08:00,22.6,95,21.8,0.00,991.9,9.7,0.0
2026-01-08T09:00,22.2,95,21.4,0.00,992.3,8.4,0.0
2026-01-08T10:00,23.1,92,21.8,0.00,993.0,9.9,33.0
2026-01-08T11:00,25.1,88,23.0,0.00,993.4,9.0,188.0
2026-01-08T12:00,27.7,82,24.3,0.00,993.5,10.7,398.0
2026-01-08T13:00,29.7,73,24.4,0.00,993.2,13.3,599.0
2026-01-08T14:00,31.2,64,23.5,0.00,992.6,15.8,741.0
2026-01-08T15:00,30.2,66,23.0,0.80,992.6,16.4,810.0
2026-01-08T16:00,31.4,59,22.3,0.00,991.6,16.4,568.0
2026-01-08T17:00,31.5,58,22.2,0.30,991.1,15.2,391.0
2026-01-08T18:00,32.5,48,20.1,0.50,990.4,17.1,425.0
2026-01-08T19:00,31.9,53,21.2,0.00,990.5,10.4,243.0
2026-01-08T20:00,32.3,53,21.6,0.00,990.2,7.6,148.0
2026-01-08T21:00,30.1,68,23.7,0.50,989.6,5.6,29.0
2026-01-08T22:00,29.2,73,24.0,0.00,989.2,7.1,19.0
2026-01-08T23:00,28.0,69,21.6,0.00,989.3,10.9,0.0
2026-01-09T00:00,25.2,84,22.4,0.00,989.9,11.1,0.0
2026-01-09T01:00,25.1,84,22.3,0.00,990.0,14.1,0.0
