latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-26.88928,-56.873596,167.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),direct_radiation (W/m²)
2025-01-01T00:00,27.6,54,17.5,0.00,987.6,2.1,0.0
2025-01-01T01:00,27.6,52,16.8,0.00,987.6,1.3,0.0
2025-01-01T02:00,27.5,51,16.4,0.00,988.3,1.3,0.0
2025-01-01T03:00,26.6,54,16.5,0.00,988.3,2.0,0.0
2025-01-01T04:00,26.0,54,16.0,0.00,988.3,3.2,0.0
2025-01-01T05:00,26.5,50,15.4,0.00,987.8,1.7,0.0
2025-01-01T06:00,24.1,57,15.2,0.00,987.4,8.3,0.0
2025-01-01T07:00,23.1,65,16.1,0.00,987.3,6.0,0.0
2025-01-01T08:00,23.0,66,16.4,0.00,987.6,7.0,0.0
2025-01-01T09:00,22.1,75,17.5,0.00,988.0,6.8,0.0
2025-01-01T10:00,23.5,78,19.3,0.00,988.5,6.9,44.0
2025-01-01T11:00,25.8,75,21.1,0.00,989.5,6.7,211.0
2025-01-01T12:00,28.0,69,21.9,0.00,990.2,7.5,424.0
2025-01-01T13:00,31.0,63,23.1,0.00,989.9,9.3,625.0
2025-01-01T14:00,32.8,50,21.1,0.00,989.5,13.6,771.0
2025-01-01T15:00,34.2,38,17.9,0.00,989.5,16.0,785.0
2025-01-01T16:00,34.6,37,17.6,0.00,989.5,16.4,894.0
2025-01-01T17:00,34.5,38,18.0,0.00,989.0,12.2,573.0
2025-01-01T18:00,34.9,37,18.0,0.00,988.4,9.8,491.0
2025-01-01T19:00,35.2,36,18.0,0.00,987.4,8.4,502.0
2025-01-01T20:00,34.1,41,19.0,0.00,986.5,7.3,113.0
2025-01-01T21:00,33.5,43,19.2,0.00,986.4,10.1,264.0
2025-01-01T22:00,31.0,49,19.0,0.00,986.9,10.8,118.0
2025-01-01T23:00,29.6,48,17.5,0.00,987.1,10.5,14.0
2025-01-02T00:00,28.9,50,17.3,0.00,987.8,10.5,0.0
2025-01-02T01:00,28.1,53,17.8,0.00,988.6,14.5,0.0
2025-01-02T02:00,27.1,59,18.5,0.00,989.4,14.1,0.0
2025-01-02T03:00,27.0,59,18.2,0.00,989.5,20.7,0.0
2025-01-02T04:00,25.2,69,19.0,0.10,990.2,8.9,0.0
2025-01-02T05:00,24.5,77,20.1,0.60,989.9,6.3,0.0
2025-01-02T06:00,23.6,87,21.5,1.50,989.6,1.7,0.0
2025-01-02T07:00,23.2,95,22.4,0.00,989.3,2.8,0.0
2025-01-02T08:00,23.1,94,22.0,0.00,989.3,5.2,0.0
2025-01-02T09:00,22.9,95,22.0,0.00,989.7,7.7,0.0
2025-01-02T10:00,23.1,95,22.4,0.00,990.1,7.0,36.0
2025-01-02T11:00,24.5,88,22.4,0.00,990.7,5.1,190.0
2025-01-02T12:00,26.0,78,22.0,0.00,991.3,6.2,407.0
2025-01-02T13:00,29.4,67,22.5,0.00,990.7,2.6,607.0
2025-01-02T14:00,30.8,62,22.8,0.00,990.9,3.8,774.0
2025-01-02T15:00,32.0,57,22.4,0.00,990.6,7.0,874.0
2025-01-02T16:00,32.8,53,22.0,0.00,990.1,9.7,922.0
2025-01-02T17:00,32.8,49,20.8,0.00,989.5,11.2,782.0
2025-01-02T18:00,32.8,48,20.2,0.00,988.9,12.6,739.0
2025-01-02T19:00,32.8,46,19.5,0.00,988.0,13.9,629.0
